Mutant,testBalde_E1,testBalde_getVolume,testBalde_E2_4caso_true,testBalde_Solucao,testBalde_E2_2caso_true,testBalde_E4,testBalde_E2_3caso_true,testBalde_E3,testBalde_E2_1caso_true,Total,Equiv?
COI_7, , ,1,1, ,1, ,1, ,4, 
COI_6, , , ,1,1,1,1,1,1,6, 
COI_9, , , ,1, ,1, , , ,2, 
COI_8, , ,1,1,1,1,1,1,1,7, 
COI_3, , , ,1,1,1, ,1, ,4, 
COI_2, , , ,1, ,1, ,1,1,4, 
COI_5, , , ,1, ,1,1,1, ,4, 
COI_4, , , ,1,1,1, ,1,1,5, 
COI_1,1, ,1,1,1,1,1,1,1,8, 
LOI_29, , , , , , , , , ,0, 
COR_6, , , , , , , , , ,0, 
COR_5, , ,1, ,1, ,1, ,1,4, 
COR_8, , , , , , , , , ,0, 
COR_7, , , , , , , , , ,0, 
COR_2, , , , , , , , , ,0, 
COR_1, , , , ,1, , , ,1,2, 
COR_4, , , , , , , , , ,0, 
COR_3, , , , ,1, ,1, ,1,3, 
AOIU_3, ,1, ,1, ,1, , , ,3, 
AOIU_4, , , , , , , , , ,0, 
AOIU_1, , , ,1, , , , , ,1, 
AOIU_2, , , ,1, , , , , ,1, 
AORB_9, , , , , , , , , ,0, 
AOIU_7, , , ,1, ,1, , , ,2, 
AOIU_8, , , ,1, , , , , ,1, 
AOIU_5, , , , , , , , , ,0, 
AOIU_6, , , ,1, ,1, , , ,2, 
AORB_3, , , ,1, ,1, , , ,2, 
AORB_4, , , ,1, ,1, , , ,2, 
AORB_1, , , ,1, ,1, , , ,2, 
AORB_2, , , ,1, ,1, , , ,2, 
AORB_7, , , ,1, ,1, , , ,2, 
AORB_8, , , , , , , , , ,0, 
AORB_5, , , ,1, , , , , ,1, 
AORB_6, , , ,1, ,1, , , ,2, 
AOIS_19, , , , , , , , , ,0, 
ROR_14, , , , , , , , ,1,1, 
ROR_2, , , ,1,1,1,1, , ,4, 
AOIS_18, , , , , , , , , ,0, 
ROR_13, , , ,1, ,1, ,1, ,3, 
ROR_3,1, ,1,1, , , ,1,1,5, 
AOIS_17, , , , , , , , , ,0, 
ROR_16, , , ,1,1,1, ,1, ,4, 
ROR_4, , ,1,1, , , ,1,1,4, 
AOIS_16, , , , , , , , , ,0, 
ROR_15, , , , ,1, , , , ,1, 
ROR_5,1, ,1,1,1,1,1,1,1,8, 
AOIS_15, , , , , , , , , ,0, 
ROR_10, , , ,1, , , ,1, ,2, 
ROR_6, , ,1,1,1,1,1,1,1,7, 
AOIS_14, , , , , , , , , ,0, 
ROR_7,1, , , , , , , , ,1, 
AOIS_13, , , , , , , , , ,0, 
ROR_12, , , ,1, ,1, , , ,2, 
ROR_8, , , ,1, ,1, , ,1,3, 
AOIS_12, , , , , , , , , ,0, 
ROR_11, , , ,1, , , ,1,1,3, 
ROR_9, , , ,1, ,1, ,1,1,4, 
AOIS_11, , , , , , , , , ,0, 
AOIS_10, ,1, , , , , , , ,1, 
ROR_1,1, , ,1,1,1,1, , ,5, 
COI_10, , , ,1, , , , , ,1, 
COI_11, , , ,1, ,1, , , ,2, 
COI_12, , , , , , , , , ,0, 
COI_13, , , , , , , , , ,0, 
COI_14, , , , , , , , , ,0, 
ROR_18, , , , , , , , , ,0, 
ROR_17, , , ,1, ,1, ,1, ,3, 
ROR_19, , , ,1,1,1, ,1, ,4, 
AORB_16, , , ,1, , , , , ,1, 
AORB_14, , , ,1, , , , , ,1, 
AORB_15, , , ,1, , , , , ,1, 
AORB_12, , , ,1, , , , , ,1, 
AORB_13, , , , , , , , , ,0, 
AORB_10, , , , , , , , , ,0, 
AORB_11, , , , , , , , , ,0, 
AOIS_5, , , ,1, , , , , ,1, 
AOIS_6, , , , , , , , , ,0, 
AOIS_3, , , , , , , , , ,0, 
AOIS_4, , , , , , , , , ,0, 
AOIS_1, , , , , , , , , ,0, 
AOIS_2, , , ,1, , , , , ,1, 
AOIS_9, ,1, , , , , , , ,1, 
AOIS_7, , , , , , , , , ,0, 
AOIS_8, , , , , , , , , ,0, 
ROR_58, , , , , , , , , ,0, 
ROR_57, , , , , , , , , ,0, 
ROR_59, , , , , , , , , ,0, 
AOIS_59, , , ,1, ,1, , , ,2, 
ROR_54, , , ,1, , , , , ,1, 
AOIS_58, , , ,1, , , , , ,1, 
ROR_53, , , ,1, ,1, , , ,2, 
AOIS_57, , , ,1, , , , , ,1, 
ROR_56, , , ,1, ,1, , , ,2, 
AOIS_56, , , ,1, , , , , ,1, 
ROR_55, , , ,1, , , , , ,1, 
LOI_5, , , , , , , , , ,0, 
AOIS_55, , , ,1, , , , , ,1, 
ROR_50, , , , , , , , , ,0, 
AOIS_54, , , ,1, , , , , ,1, 
LOI_6,1, , , , , ,1, ,1,3, 
AOIS_53, , , ,1, , , , , ,1, 
ROR_52, , , ,1, ,1, , , ,2, 
LOI_7,1, , , , , ,1, ,1,3, 
AOIS_52, , , ,1, , , , , ,1, 
ROR_51, , , ,1, ,1, , , ,2, 
LOI_8, , , ,1, ,1, ,1,1,4, 
LOI_1, , , ,1, , , , , ,1, 
AOIS_51, , , ,1, , , , , ,1, 
LOI_2, , , ,1, , , , , ,1, 
AOIS_50, , , ,1, , , , , ,1, 
LOI_3, ,1, ,1, ,1, , , ,3, 
LOI_4, , , , , , , , , ,0, 
ROR_47, , , ,1, , , , , ,1, 
ROR_46, , , ,1, , , , , ,1, 
ROR_49, , , , , , , , , ,0, 
AOIS_49, , , ,1, , , , , ,1, 
ROR_48, , , ,1, , , , , ,1, 
AOIS_48, , , ,1, , , , , ,1, 
ROR_43, , , , , , , , , ,0, 
AOIS_47, , , ,1, ,1, , , ,2, 
ROR_42, , , , , , , , , ,0, 
AOIS_46, , , ,1, ,1, ,1, ,3, 
ROR_45, , , ,1, , , , , ,1, 
AOIS_45, , , ,1, ,1, , , ,2, 
ROR_44, , , , , , , , , ,0, 
AOIS_44, , , ,1, , , , , ,1, 
AOIS_43, , , ,1, , , , , ,1, 
AOIS_42, , ,1,1, , , , , ,2, 
ROR_41, , , ,1, ,1, , , ,2, 
AOIS_41, , , ,1, , , , , ,1, 
ROR_40, , , ,1, ,1, , , ,2, 
AOIS_40, , ,1,1, , , , , ,2, 
LOI_9, , , , ,1, , , , ,1, 
ROR_36, , , ,1, ,1, , , ,2, 
ROR_35, , ,1, , , , , , ,1, 
AOIS_39, , , ,1, , , , , ,1, 
ROR_38, , , , , , , , , ,0, 
AOIS_38, , ,1,1, , , , , ,2, 
ROR_37, , , ,1, ,1, , , ,2, 
AOIS_37, , , ,1, , ,1, , ,2, 
ROR_32, , , , , , , , , ,0, 
AOIS_36, , , ,1, ,1, ,1, ,3, 
ROR_31, , , ,1, ,1, ,1, ,3, 
AOIS_35, , , ,1, ,1, , , ,2, 
ROR_34, , , ,1, ,1, ,1, ,3, 
AOIS_34, , , ,1, ,1, ,1, ,3, 
ROR_33, , ,1,1, ,1, ,1, ,4, 
AOIS_33, , , ,1, ,1, , , ,2, 
AOIS_32, , , ,1, ,1, ,1, ,3, 
AOIS_31, , , ,1, ,1, , , ,2, 
ROR_30, , ,1,1, ,1, ,1, ,4, 
AOIS_30, , , ,1, ,1, ,1, ,3, 
ROR_39, , , , , , , , , ,0, 
ROR_25, , , ,1, , ,1, , ,2, 
AOIS_29, , , ,1, ,1, , ,1,3, 
ROR_24, , , ,1, , , , , ,1, 
AOIS_28, , ,1,1, , , , , ,2, 
ROR_27, , , ,1, ,1, ,1, ,3, 
AOIS_27, , , ,1, , ,1, , ,2, 
ROR_26, , , ,1, ,1, ,1, ,3, 
AOIS_26,1, ,1,1, , , ,1,1,5, 
ROR_21, , , , ,1, , , , ,1, 
AOIS_25,1, , ,1, ,1,1, , ,4, 
ROR_20, , , ,1, ,1, ,1, ,3, 
AOIS_24, , , ,1, ,1, ,1, ,3, 
ROR_23, , , ,1, ,1,1,1, ,4, 
AOIS_23, , , ,1, ,1, , ,1,3, 
ROR_22, , , ,1, ,1,1,1, ,4, 
AOIS_22,1, , ,1, ,1,1,1, ,5, 
AOIS_21,1, , ,1, ,1, ,1,1,5, 
AOIS_20, , , , , , , , , ,0, 
ROR_29, , ,1, , , , , , ,1, 
ROR_28, , , , , , ,1, , ,1, 
AOIS_98, , , , , , , , , ,0, 
AOIS_97, , , , , , , , , ,0, 
AOIS_96, , , , , , , , , ,0, 
AOIS_95, , , , , , , , , ,0, 
AOIS_94, , , , , , , , , ,0, 
AOIS_93, , , , , , , , , ,0, 
AOIS_92, , , , , , , , , ,0, 
AOIS_89, , , ,1, , , , , ,1, 
AOIS_88, , , ,1, , , , , ,1, 
AOIS_87, , , ,1, , , , , ,1, 
AOIS_86, , , , , , , , , ,0, 
AOIS_85, , , , , , , , , ,0, 
AOIS_84, , , ,1, , , , , ,1, 
AOIS_83, , , ,1, , , , , ,1, 
AOIS_82, , , , , , , , , ,0, 
AOIS_81, , , , , , , , , ,0, 
AOIS_91, , , , , , , , , ,0, 
AOIS_90, , , ,1, , , , , ,1, 
AOIS_79, , , ,1, , , , , ,1, 
AOIS_78, , , ,1, , , , , ,1, 
AOIS_77, , , ,1, , , , , ,1, 
AOIS_76, , , ,1, , , , , ,1, 
AOIS_75, , , ,1, , , , , ,1, 
AOIS_74, , , ,1, , , , , ,1, 
AOIS_73, , , ,1, , , , , ,1, 
LOI_18, , , ,1, ,1, , , ,2, 
AOIS_72, , , ,1, , , , , ,1, 
LOI_19, , , ,1, ,1, , , ,2, 
AOIS_71, , , ,1, , , , , ,1, 
ROR_70, , , , , , , , , ,0, 
AOIS_70, , , , , , , , , ,0, 
AOIS_80, , , ,1, , , , , ,1, 
LOI_25, , , ,1, , , , , ,1, 
LOI_26, , , ,1, , , , , ,1, 
LOI_27, , , ,1, , , , , ,1, 
LOI_28, , , , , , , , , ,0, 
LOI_21, , , ,1, ,1, , , ,2, 
LOI_22, , , ,1, ,1, , , ,2, 
LOI_23, , , ,1, ,1, , , ,2, 
LOI_24, , , ,1, , , , , ,1, 
LOI_20, , , ,1, ,1, , , ,2, 
ROR_69, , , , , , , , , ,0, 
ROR_68, , , , , , , , , ,0, 
ROR_65, , , , , , , , , ,0, 
AOIS_69, , , , , , , , , ,0, 
ROR_64, , , , , , , , , ,0, 
AOIS_68, , , , , , , , , ,0, 
ROR_67, , , , , , , , , ,0, 
AOIS_67, , , ,1, ,1, , , ,2, 
ROR_66, , , , , , , , , ,0, 
AOIS_66, , , ,1, , , , , ,1, 
ROR_61, , , , , , , , , ,0, 
AOIS_65, , , ,1, , , , , ,1, 
ROR_60, , , , , , , , , ,0, 
AOIS_64, , , ,1, , , , , ,1, 
ROR_63, , , , , , , , , ,0, 
AOIS_63, , , ,1, ,1, , , ,2, 
ROR_62, , , , , , , , , ,0, 
AOIS_62, , , ,1, , , , , ,1, 
AOIS_61, , , ,1, ,1, , , ,2, 
AOIS_60, , , ,1, , , , , ,1, 
LOI_14, , , ,1, ,1, , , ,2, 
LOI_15, , , ,1, ,1, , , ,2, 
LOI_16, , , ,1, ,1, , , ,2, 
LOI_17, , , ,1, ,1, , , ,2, 
LOI_10, , , ,1, ,1,1,1, ,4, 
LOI_11, , ,1, , , , , , ,1, 
LOI_12, , , ,1, ,1, ,1, ,3, 
LOI_13, , , ,1, ,1, , , ,2, 
